case_key,seed_case,gamma_jump_case,deltaS_hor_case,profile,a_1_over_Teff,b,R2,Teff,mean_jump_rate,mean_Lambda_w,mean_Coh_ptr_w
seed_20260904_Gm_0.09_dS_0.12,20260904,0.09,0.12,oscillating,7.880609267532909,0.01606413110701869,0.029501159483025563,0.12689374210187918,0.0021607142857142858,0.022625444811536756,0.000883833410269269
seed_20260904_Gm_0.12_dS_0.08,20260904,0.12,0.08,constant,9.871030230369076,0.001441065421273205,0.9133679508420876,0.10130654821858551,0.0028303571428571427,0.015468545431184855,0.0006042584963181815
seed_20260904_Gm_0.12_dS_0.08,20260904,0.12,0.08,gaussian,12.135687271886711,0.009340375880137275,0.32967275684326103,0.08240159601974746,0.002758928571428572,0.0006796680559010171,2.6549534997018427e-05
seed_20260904_Gm_0.12_dS_0.08,20260904,0.12,0.08,oscillating,2.8604897658519306,0.013530226743677739,0.015456371944689407,0.3495904833982768,0.0027142857142857142,0.015468545431184855,0.0006042584963181826
seed_20260904_Gm_0.12_dS_0.12,20260904,0.12,0.12,constant,14.806545345553607,0.002161598131909809,0.9133679508420876,0.06753769881239037,0.0028303571428571427,0.022625444811536752,0.0008838334102692673
seed_20260904_Gm_0.12_dS_0.12,20260904,0.12,0.12,gaussian,18.203530907830057,0.014010563820205914,0.3296727568432609,0.05493439734649834,0.002758928571428572,0.0009941330396813555,3.883332414927603e-05
seed_20260904_Gm_0.12_dS_0.12,20260904,0.12,0.12,oscillating,4.290734648777875,0.020295340115516626,0.015456371944689407,0.233060322265519,0.0027142857142857142,0.022625444811536756,0.0008838334102692687
seed_20260905_Gm_0.09_dS_0.08,20260905,0.09,0.08,constant,10.876553296557228,0.00027961877174176054,0.9702005847275033,0.09194089089937449,0.0020357142857142857,0.015468545431184855,0.0006042584963181809
seed_20260905_Gm_0.09_dS_0.08,20260905,0.09,0.08,gaussian,6.790984567478993,0.008706750146887194,0.19167992253862454,0.14725405279064396,0.0021964285714285714,0.0006796680559010171,2.654953499701783e-05
seed_20260905_Gm_0.09_dS_0.08,20260905,0.09,0.08,oscillating,2.527819471837267,0.0116206875798812,0.012046837471077376,0.39559787047339307,0.0023214285714285715,0.015468545431184855,0.0006042584963181811
seed_20260905_Gm_0.09_dS_0.12,20260905,0.09,0.12,constant,16.31482994483585,0.00041942815761263666,0.9702005847275033,0.061293927266249625,0.0020357142857142857,0.022625444811536756,0.0008838334102692664
seed_20260905_Gm_0.09_dS_0.12,20260905,0.09,0.12,gaussian,10.186476851218503,0.013060125220330778,0.19167992253862476,0.09816936852709585,0.0021964285714285714,0.000994133039681356,3.8833324149275156e-05
seed_20260905_Gm_0.09_dS_0.12,20260905,0.09,0.12,oscillating,3.7917292077558797,0.01743103136982182,0.012046837471077376,0.26373191364893017,0.0023214285714285715,0.022625444811536756,0.0008838334102692668
seed_20260905_Gm_0.12_dS_0.08,20260905,0.12,0.08,constant,10.995210626281771,0.00023924827023387665,0.9824783644119025,0.09094868975130929,0.0025535714285714285,0.015468545431184855,0.0006042584963181815
seed_20260905_Gm_0.12_dS_0.08,20260905,0.12,0.08,gaussian,12.455218776952176,0.008921626164554513,0.44029317091608977,0.08028763026230058,0.0027321428571428575,0.0006796680559010172,2.654953499701736e-05
seed_20260905_Gm_0.12_dS_0.08,20260905,0.12,0.08,oscillating,7.470699028979826,0.01360698151047252,0.09863839233651239,0.13385628254074594,0.002821428571428572,0.015468545431184855,0.0006042584963181807
seed_20260905_Gm_0.12_dS_0.12,20260905,0.12,0.12,constant,16.49281593942263,0.00035887240535081356,0.9824783644119025,0.060632459834206294,0.0025535714285714285,0.022625444811536756,0.0008838334102692672
seed_20260905_Gm_0.12_dS_0.12,20260905,0.12,0.12,gaussian,18.68282816542827,0.013382439246831775,0.44029317091608977,0.05352508684153371,0.0027321428571428575,0.000994133039681356,3.883332414927446e-05
seed_20260905_Gm_0.12_dS_0.12,20260905,0.12,0.12,oscillating,11.206048543469743,0.020410472265708777,0.0986383923365125,0.0892375216938306,0.002821428571428572,0.02262544481153675,0.0008838334102692659
seed_20260906_Gm_0.09_dS_0.08,20260906,0.09,0.08,constant,10.039498315599765,0.0007966935909087071,0.9100404995545097,0.09960657082298235,0.0020892857142857145,0.015468545431184855,0.0006042584963181824
seed_20260906_Gm_0.09_dS_0.08,20260906,0.09,0.08,gaussian,8.725763591403945,0.008713544475829086,0.24639411699334868,0.11460315071853826,0.002241071428571428,0.0006796680559010172,2.6549534997017685e-05
seed_20260906_Gm_0.09_dS_0.08,20260906,0.09,0.08,oscillating,2.1502988783582837,0.01159963674893682,0.005523016074588605,0.4650516307591077,0.002294642857142857,0.015468545431184855,0.0006042584963181815
seed_20260906_Gm_0.09_dS_0.12,20260906,0.09,0.12,constant,15.059247473399639,0.0011950403863630608,0.9100404995545097,0.06640438054865494,0.0020892857142857145,0.022625444811536756,0.0008838334102692685
seed_20260906_Gm_0.09_dS_0.12,20260906,0.09,0.12,gaussian,13.088645387105915,0.013070316713743636,0.24639411699334846,0.07640210047902551,0.002241071428571428,0.000994133039681356,3.883332414927493e-05
seed_20260906_Gm_0.09_dS_0.12,20260906,0.09,0.12,oscillating,3.2254483175374355,0.017399455123405218,0.005523016074588938,0.31003442050607083,0.002294642857142857,0.022625444811536756,0.000883833410269267
seed_20260906_Gm_0.12_dS_0.08,20260906,0.12,0.08,constant,9.698277912894449,0.001477865448408972,0.8958287204200823,0.10311108930694174,0.0026964285714285714,0.015468545431184855,0.0006042584963181824
seed_20260906_Gm_0.12_dS_0.08,20260906,0.12,0.08,gaussian,5.9376248067273885,0.010717625926962853,0.15694555198939575,0.16841751248192544,0.0025803571428571425,0.0006796680559010171,2.6549534997016475e-05
seed_20260906_Gm_0.12_dS_0.08,20260906,0.12,0.08,oscillating,14.57740553496169,0.012921728997533325,0.08872220368388262,0.06859931265557867,0.0026875,0.015468545431184855,0.0006042584963181817
seed_20260906_Gm_0.12_dS_0.12,20260906,0.12,0.12,constant,14.547416869341665,0.002216798172613461,0.8958287204200823,0.06874072620462786,0.0026964285714285714,0.022625444811536756,0.0008838334102692684
seed_20260906_Gm_0.12_dS_0.12,20260906,0.12,0.12,gaussian,8.906437210091083,0.016076438890444283,0.15694555198939586,0.11227834165461695,0.0025803571428571425,0.000994133039681356,3.8833324149273164e-05
seed_20260906_Gm_0.12_dS_0.12,20260906,0.12,0.12,oscillating,21.866108302442484,0.01938259349629999,0.08872220368388273,0.04573287510371922,0.0026875,0.022625444811536756,0.0008838334102692676
seed_20260907_Gm_0.09_dS_0.08,20260907,0.09,0.08,constant,9.658134705397119,0.0007956341684739792,0.8835551792822853,0.10353966169483887,0.0020892857142857145,0.015468545431184857,0.0006042584963181817
seed_20260907_Gm_0.09_dS_0.08,20260907,0.09,0.08,gaussian,9.128018183941903,0.007939944968698539,0.24580671890703654,0.1095528054226721,0.002116071428571429,0.0006796680559010176,2.654953499701789e-05
seed_20260907_Gm_0.09_dS_0.08,20260907,0.09,0.08,oscillating,6.2568155456321275,0.01178864050689803,0.09425925417964609,0.1598257120905695,0.0024107142857142856,0.015468545431184855,0.0006042584963181815
seed_20260907_Gm_0.09_dS_0.12,20260907,0.09,0.12,constant,14.487202058095672,0.001193451252710971,0.8835551792822854,0.06902644112989262,0.0020892857142857145,0.022625444811536756,0.0008838334102692676
seed_20260907_Gm_0.09_dS_0.12,20260907,0.09,0.12,gaussian,13.692027275912896,0.011909917453047803,0.24580671890703631,0.07303520361511451,0.002116071428571429,0.0009941330396813562,3.883332414927524e-05
