time_index,time,residual_base_res0,lambda_h,n_density_ctrl_z,resid_base_oof_h,resid_full_oof_h,lambda_v,resid_base_oof_v,resid_full_oof_v,proxy_vorticity_abs_mean,proxy_omega_q_850_300
590,2017-05-28 12:00:00,-0.4585464477053854,-4.9857195803273545e-05,-0.2315025925343681,-0.422923736278228,-0.4885929719061472,-5.097824549366306e-05,-0.422923736278228,-0.4997753045128111,1.3788177789924024e-05,0.00031493529095444323
591,2017-05-28 18:00:00,1.164095080976865,1.0196038801973083e-06,0.0914210796746769,1.2703822310737003,1.2685754173071409,7.12178107927006e-07,1.2703822310737003,1.268347551506304,1.3874323932667578e-05,0.00047082761560151627
592,2017-05-29 00:00:00,1.2647012075317918,8.528238941546938e-07,0.0380459071605666,1.359308425405618,1.357379891144671,5.865047600930374e-07,1.359308425405618,1.357174000600422,1.4195950655597519e-05,0.0004003855742914424
593,2017-05-29 06:00:00,1.0701877708892504,-1.5468544685208414e-05,-1.2621916294445692,0.8802678277998893,0.8598564353606434,-1.5442311834122935e-05,0.8802678277998893,0.8568080073468942,1.4068445367069536e-05,0.0003851856927786246
594,2017-05-29 12:00:00,0.516142060895655,-4.316610019292201e-05,0.0719105725841651,0.6181597840338519,0.5604523881786199,-4.241891044158172e-05,0.6181597840338519,0.5533065746966372,1.396780796664875e-05,0.00034438605236520784
595,2017-05-29 18:00:00,1.59813543949411,-1.3496171802781338e-05,0.2490223968376416,1.738910022905259,1.7184641808364856,-1.3108333833024084e-05,1.738910022905259,1.7164904098572853,1.4059584136076088e-05,0.00039688055329198515
596,2017-05-30 00:00:00,0.9154530329060132,-3.393966926147791e-05,0.2545339089426765,1.0574336843222087,1.0110998449870732,-3.2485930980524305e-05,1.0574336843222087,1.006769151753176,1.4055170356783564e-05,0.00037295486485324587
597,2017-05-30 06:00:00,0.7880408767772962,-0.0001171996739436,-0.8507094307335854,0.6881643745901348,0.5382856049470184,-0.0001109554611799,0.6881643745901348,0.5248835599129847,1.4487758440548438e-05,0.00040191816145253246
598,2017-05-30 12:00:00,0.3865243738830712,-0.0002323965927654,0.4659977270377665,0.5747790314828796,0.2768707652537756,-0.0002165159626516,0.5747790314828796,0.2556224788175074,1.4251395643262086e-05,0.00041806773839409223
599,2017-05-30 18:00:00,0.902033155953819,-3.674883008712815e-05,0.43380823499375,1.083243881559444,1.0330537397748616,-3.424609165794073e-05,1.083243881559444,1.0297344511611155,1.4424563411367485e-05,0.0004844728658121011
600,2017-05-31 00:00:00,1.0181823965642458,7.808666646984907e-05,0.370516634538762,1.1855432071479644,1.2808256365352335,7.256499923772608e-05,1.1855432071479644,1.287773774694597,1.4234616008710277e-05,0.0004446935585593414
601,2017-05-31 06:00:00,0.7227559353505032,0.0001332596779587,-0.8901828937524163,0.6142415711958603,0.7814773537517868,0.0001223127456574,0.6142415711958603,0.7909321245882852,1.4153201512794508e-05,0.0004042955192566843
602,2017-05-31 12:00:00,0.3154646356164916,0.0001347308976683,0.4747985451881338,0.5056451504016073,0.6724570224124784,0.0001204926016394,0.5056451504016073,0.6775511206376452,1.5147818458886835e-05,0.00040640914794926687
603,2017-05-31 18:00:00,1.008689221561613,0.0003040287309394,0.5794552994441599,1.2217714664735464,1.602716723921995,0.0002708445383246,1.2217714664735464,1.6126011617201583,1.542767388575358e-05,0.0005690776969721762
604,2017-06-01 00:00:00,1.2012633193519346,-9.602626721733962e-06,0.5719896469580604,1.4127118774591063,1.3966537937682617,-8.773490348094238e-06,1.4127118774591063,1.3961043053816664,1.5347283031053042e-05,0.00033025701426028656
605,2017-06-01 06:00:00,0.4030784111327105,-4.2486148565275614e-05,-0.8162746456847236,0.3107371718129106,0.2553781736619693,-3.8519961399625744e-05,0.3107371718129106,0.2529528642714789,1.5375923434738196e-05,0.00023307303021236149
606,2017-06-01 12:00:00,-0.2181395720217555,-0.0001302639500222,0.3011070146385055,-0.0659674646847664,-0.2343131199448472,-0.0001191915228932,-0.0659674646847664,-0.2430488971084914,1.5503400438443123e-05,0.0002992768379751387
607,2017-06-01 18:00:00,0.2026740987843698,-3.805214492860377e-05,0.478388521460348,0.3936401975323399,0.3417255615186544,-3.45013584472563e-05,0.3936401975323399,0.3396891597912388,1.5107643234981609e-05,0.00029589925298640534
608,2017-06-02 00:00:00,-0.2467354792823193,0.0002087622222099,0.535770950895737,-0.0432125520497244,0.2172110660844934,0.0001889371096304,-0.0432125520497244,0.2283329450433781,1.4516657448330079e-05,0.0003157493438466945
609,2017-06-02 06:00:00,0.1392151232483708,0.0001137212708435,-0.911899294312498,0.0259486229464881,0.1684877384678325,0.0001030799719441,0.0259486229464881,0.1746478228228072,1.4854933156867247e-05,0.0003634364830051813
610,2017-06-02 12:00:00,-0.0272258676609571,6.56239919956668e-05,0.4061978014670028,0.1479429478758048,0.227389514295324,5.9235436851348266e-05,0.1479429478758048,0.2306944356531994,1.5147379370681358e-05,0.0004027519470588059
611,2017-06-02 18:00:00,1.3172185263334713,5.4725394635392976e-05,0.5131376921830993,1.5157886840423789,1.5812599473556874,4.9613446332077384e-05,1.5157886840423789,1.584352308596089,1.4570406693507838e-05,0.0004968797375029517
612,2017-06-03 00:00:00,1.4884545496253627,0.0001212313230126,0.6962152289779647,1.7270870269596386,1.8764393590936856,0.0001094882985912,1.7270870269596386,1.8826120472960484,1.4264381070835856e-05,0.00048633655190959336
613,2017-06-03 06:00:00,1.5052924826446517,5.858432979955415e-05,-0.7381212971613594,1.430053311023327,1.5025052766600215,5.309391284148431e-05,1.430053311023327,1.5056432243896083,1.4720604491501937e-05,0.0005055847418214823
614,2017-06-03 12:00:00,0.9799094076535864,-9.734633699098443e-05,0.7267701603093845,1.2252281308624835,1.0978388570236697,-8.856513280111192e-05,1.2252281308624835,1.0921093686999404,1.538764412665262e-05,0.0005566473242596113
615,2017-06-03 18:00:00,1.9729120068341155,-9.63340245324023e-06,0.6308881385437018,2.1972491488531407,2.1810534549276213,-8.501422314827369e-06,2.1972491488531407,2.1809460144911124,1.540947192867113e-05,0.0006394878985106424
