seed,Lx,K_layers,mean_commutator_norm_adjacent_Umu,max_commutator_norm_adjacent_Umu,mean_abs_delta_lambda_gauge,max_abs_delta_lambda_gauge,gauge_invariant_within_tol,seed_case,lx_case,k_case
20260228,6,30,0.11882974124578773,0.4916658337658773,5.791672480146004e-17,9.992007221626409e-16,True,20260228,6,30
20260228,8,10,0.14442976702994942,0.5298973357020511,5.3743901690106454e-17,4.163336342344337e-16,True,20260228,8,10
20260228,8,20,0.12010617366049275,0.45559735621075315,4.0029083021343725e-17,3.0531133177191805e-16,True,20260228,8,20
20260228,8,30,0.11907817875800664,0.4916658337658773,5.034086212121758e-17,6.106226635438361e-16,True,20260228,8,30
20260228,12,10,0.13992612636678392,0.5298973357020511,4.072263359855555e-17,2.220446049250313e-16,True,20260228,12,10
20260228,12,20,0.12270545159889601,0.49261474977767333,4.0406859715819143e-17,3.3306690738754696e-16,True,20260228,12,20
20260228,12,30,0.12075517358035287,0.4916658337658773,4.279888075886529e-17,2.220446049250313e-16,True,20260228,12,30
20260229,6,10,0.14023200469011507,0.5298973357020511,6.933111492320639e-17,8.326672684688674e-16,True,20260229,6,10
20260229,6,20,0.11953970972734097,0.4077578010425246,4.792896403834253e-17,4.440892098500626e-16,True,20260229,6,20
20260229,6,30,0.11882974124578773,0.4916658337658773,6.730862612061572e-17,4.440892098500626e-16,True,20260229,6,30
20260229,8,10,0.14442976702994942,0.5298973357020511,6.572433569607128e-17,4.440892098500626e-16,True,20260229,8,10
20260229,8,20,0.12010617366049275,0.45559735621075315,4.117427156603154e-17,4.440892098500626e-16,True,20260229,8,20
20260229,8,30,0.11907817875800664,0.4916658337658773,4.8443508319367945e-17,5.551115123125783e-16,True,20260229,8,30
20260229,12,10,0.13992612636678392,0.5298973357020511,5.4817261840867107e-17,4.440892098500626e-16,True,20260229,12,10
20260229,12,20,0.12270545159889601,0.49261474977767333,4.3781438977680276e-17,2.220446049250313e-16,True,20260229,12,20
20260229,12,30,0.12075517358035287,0.4916658337658773,4.514346795686519e-17,3.3306690738754696e-16,True,20260229,12,30
20260230,6,10,0.14023200469011507,0.5298973357020511,5.900951024114439e-17,3.3306690738754696e-16,True,20260230,6,10
20260230,6,20,0.11953970972734097,0.4077578010425246,6.318007459797196e-17,7.771561172376096e-16,True,20260230,6,20
20260230,6,30,0.11882974124578773,0.4916658337658773,5.572799166575493e-17,5.551115123125783e-16,True,20260230,6,30
20260230,8,10,0.14442976702994942,0.5298973357020511,6.988767203841562e-17,6.661338147750939e-16,True,20260230,8,10
20260230,8,20,0.12010617366049275,0.45559735621075315,4.560594794606604e-17,4.163336342344337e-16,True,20260230,8,20
20260230,8,30,0.11907817875800664,0.4916658337658773,5.334952314986485e-17,3.885780586188048e-16,True,20260230,8,30
20260230,12,10,0.13992612636678392,0.5298973357020511,5.570088661144279e-17,7.216449660063518e-16,True,20260230,12,10
