case_id,seed,nx,alpha1_val,alpha2_val,alpha_mod_amp,theta1_base,theta1_amp,theta1_center,theta1_width,theta2_base,theta2_amp,theta2_center,theta2_width,n_angle_fine,max_abs_spatial_err,max_abs_antisym_err,max_abs_angle_err,rmse_angle,r2_angle,ratio_mean,ratio_std,pass_spatial_tol,pass_antisym_tol,pass_angle_tol,pass_ratio_std_tol,pass_r2_min,pass_all
39,20260220,96,0.388231693606036,0.8612647880013917,0.1478832457232754,0.2838751702985073,0.3806021695527393,0.7590551269136022,0.8805495131135928,0.16736143217280888,0.28012567223625195,4.081246954281214,0.39768675545062787,65,1.1102230246251565e-16,0.0,8.326672684688674e-17,2.632443699178535e-17,1.0,0.23781578431284137,3.5383917113209605e-13,True,True,True,True,True,True
40,20260220,128,0.5660538976995491,1.3304520691088073,0.1835527220430294,0.279954905627606,0.5191077165949616,1.7692184252592968,0.21500825022161996,0.4956486781475764,0.11724480645587756,3.916723051342247,0.5063666162687667,87,1.1102230246251565e-16,0.0,2.220446049250313e-16,9.299540261156522e-17,1.0,0.5289161607680302,9.920529473606764e-13,True,True,True,True,True,True
41,20260220,320,0.17782908244062628,0.47333998010968675,0.02053275701007752,0.5685537018251292,0.5289666046133914,2.031961739906725,0.5336506722932283,0.6277179536724082,0.11571390903533488,3.8484207774738204,0.3964645080773076,27,1.1102230246251565e-16,0.0,2.220446049250313e-16,1.136338284567127e-16,1.0,0.6567830846133678,4.1856493473482034e-13,True,True,True,True,True,True
42,20260220,160,0.6612275334096398,0.9857828273224454,0.1346896961178921,0.7283751226137213,0.1536341731729999,1.1522395417260887,0.24218843326372547,0.7662673401543219,0.08690951572521834,4.25888735031349,0.750024918182961,32,2.220446049250313e-16,0.0,3.3306690738754696e-16,1.7937829234940417e-16,1.0,0.7959850369529091,6.123908042811567e-13,True,True,True,True,True,True
43,20260220,200,0.3505167903770788,0.9655834608617613,0.11315018753673328,0.5351077098101032,0.5462219125956685,1.9005493601950656,0.6797042633354888,0.31792037867057554,0.15536584137611448,3.561325863572357,0.6022142937919562,75,1.1102230246251565e-16,0.0,2.220446049250313e-16,1.2937552487356927e-16,1.0,0.3660081168926666,6.114811952004119e-13,True,True,True,True,True,True
44,20260220,200,0.5193573276185058,1.274699751631812,0.14222413921019555,0.6574413568427748,0.14547218717352198,2.81042811087432,0.847708934926844,0.34243897226534237,0.30925808634545365,4.833033704163445,0.8457126765574493,83,1.1102230246251565e-16,0.0,1.6653345369377348e-16,8.914248481950892e-17,1.0,0.44916014764918016,8.124795991948215e-13,True,True,True,True,True,True
45,20260220,320,0.41591557312715,0.86325008132326,0.04616593794163489,0.4803265095119991,0.08439857868102862,1.929938366300797,0.19613601348286178,0.5740401175851458,0.23285933163864406,4.813754449961549,0.3429322803109962,53,2.220446049250313e-16,0.0,3.3306690738754696e-16,1.520272834215885e-16,1.0,0.6280963175806037,7.855042581907002e-13,True,True,True,True,True,True
46,20260220,96,0.4568763849752679,0.9383795109150698,0.15592598893402412,0.7865993004074264,0.254503255695076,2.3654990779021547,0.6344709704538447,0.5483131315628603,0.2604513380499096,5.27914446289925,0.2481981167022973,85,2.220446049250313e-16,0.0,3.3306690738754696e-16,1.669381559373986e-16,1.0,0.5987568387604625,1.1031735506671265e-12,True,True,True,True,True,True
47,20260220,96,0.33439531213218787,0.8585522854618592,0.28939201618871613,0.7388030683144373,0.2911105844891207,1.4491117248163952,0.3822672661782811,0.22936006111402252,0.23952646100079678,4.743961031126017,0.7203120974517312,43,1.1102230246251565e-16,0.0,1.1102230246251565e-16,7.730085121008545e-17,1.0,0.3073861762830178,3.1783504771466123e-13,True,True,True,True,True,True
48,20260220,128,0.31204475914699537,0.6400827031364716,0.14692150126888345,0.6215984950616169,0.5853329699027803,1.0476639716682106,0.4871581861997272,0.6456655973975045,0.3744178113231795,4.6635542546190525,0.6089917462319124,84,2.220446049250313e-16,0.0,3.3306690738754696e-16,1.2638335167728686e-16,1.0,0.7598466829612124,1.3872609948923496e-12,True,True,True,True,True,True
49,20260220,160,0.2463090606081458,1.0001645733513478,0.3288903917188451,0.5215953318943805,0.5994812591421175,1.6071981680947303,0.6508430334028733,0.5036650988676746,0.05073712339111659,4.751826903537441,0.8405422635182287,51,1.1102230246251565e-16,0.0,1.6653345369377348e-16,6.12460529001769e-17,1.0,0.5213025141745457,6.301575648253879e-13,True,True,True,True,True,True
50,20260220,160,0.5670824541908295,1.0063707413639134,0.27869654341751193,0.34642810103449245,0.1451638958936852,2.5512062776959668,0.2085565130632939,0.6151367171239156,0.1845978992680666,4.0514898998437285,0.858309329526656,49,2.220446049250313e-16,0.0,2.220446049250313e-16,8.516277607222329e-17,1.0,0.6827855965232283,7.963639038796756e-13,True,True,True,True,True,True
51,20260220,96,0.4868469642353502,1.2511422622294535,0.05913879166677442,0.44786702005964696,0.10505395370553526,0.9489354587448221,0.8129930620426384,0.7010106787018686,0.3897495274113464,5.474407643684298,0.8293741775718403,34,2.220446049250313e-16,0.0,2.220446049250313e-16,8.755275211923964e-17,1.0,0.8147154243209829,6.680703629628165e-13,True,True,True,True,True,True
52,20260220,160,0.6308413394621658,0.9151434927864335,0.27250562616971624,0.6603089475898869,0.5129829148291097,1.5703379749744144,0.6414041510758454,0.27650205728799965,0.14251161119194927,5.514640259463526,0.628437810478604,68,1.1102230246251565e-16,0.0,1.6653345369377348e-16,7.822282547234512e-17,1.0,0.31380328080294434,4.845127778492252e-13,True,True,True,True,True,True
53,20260220,128,0.3278457795005818,1.0129063699050773,0.19749722263943045,0.3121739489377413,0.4973276190948809,2.624751581148615,0.6632388988026178,0.3042220137186427,0.2225792832262524,6.110328321561097,0.37315539495081657,70,1.1102230246251565e-16,0.0,1.1102230246251565e-16,5.882998421512236e-17,1.0,0.3365474080972873,5.320094973902145e-13,True,True,True,True,True,True
54,20260220,200,0.22340612559980866,0.39139112978777624,0.2371651337867074,0.4623176700489032,0.17101170986386566,1.0447804178000208,0.21235032108824045,0.6337239566432216,0.5819159454470273,3.964251837203941,0.7214296069293216,42,2.220446049250313e-16,0.0,2.220446049250313e-16,9.344532519835933e-17,1.0,0.8302460198608889,8.395625396668029e-13,True,True,True,True,True,True
55,20260220,128,0.6738837232286421,0.8749065840410066,0.2632773021646207,0.16150579491377212,0.2492322335842208,2.0787658675236247,0.58340038882343,0.3092284539111653,0.21051342704340484,5.810726283311241,0.8646298770974666,32,1.1102230246251565e-16,0.0,1.1102230246251565e-16,6.971344091378409e-17,1.0,0.36272221712400804,2.790703444393733e-13,True,True,True,True,True,True
56,20260220,320,0.2938427194603707,0.9679883184067533,0.2622913630108248,0.3441739685634149,0.20956268087201355,1.6227024178238025,0.7363707564483415,0.6586146847514965,0.06362772030176678,3.8716203718236177,0.5735044248597128,82,1.1102230246251565e-16,0.0,2.220446049250313e-16,1.2034338694940088e-16,1.0,0.6778232694561128,1.2146351170620953e-12,True,True,True,True,True,True
