case_id,phi_target,Delta_mu,K_layers,beta,r_amp,alpha_state,max_rel_error,median_rel_error,cross_profile_spread_Lambda_num,cross_profile_std_Lambda_num,cross_profile_spread_Lambda_theory
54,2.349594842209622,2.3385073839002826,128,0.44146262782460366,0.7666717711106593,0.06532587566024418,1.9520882062508698e-16,1.9520882062508624e-16,3.191891195797325e-16,1.3923970257616242e-16,3.191891195797325e-16
55,-2.9198749292600694,2.1710221575081157,192,-0.22336883667974558,0.7432949271330271,0.49658864151110166,2.432269631327345e-15,1.0134456797197232e-15,8.43769498715119e-15,3.901444133540868e-15,8.354428260304303e-15
56,-2.1693783734141445,0.9729378558536039,64,-0.4009719980411059,0.8756282088277231,1.4992147410282692,4.033887123983249e-16,1.3446290413277505e-16,8.326672684688674e-17,3.925231146709438e-17,1.249000902703301e-16
57,-0.48140195201792585,2.8986845971218114,192,-0.2835013450715134,0.11150214994826417,0.9598000004395886,1.0010965091893522e-15,5.720551481082029e-16,1.5959455978986625e-16,6.857462320381718e-17,1.3877787807814457e-16
58,2.3714286595492635,2.129494285371717,192,-0.060411463008063035,0.7472437935849996,0.47446606978077827,1.181443462778245e-15,2.6254299172849914e-16,1.8318679906315083e-15,8.164732398659709e-16,1.7763568394002505e-15
59,-2.2828442383843868,1.1067250920205647,128,0.3109529733299287,0.05625938387679716,0.2612676515637622,3.264493251688136e-16,3.2644932516881326e-16,3.8163916471489756e-17,1.614939668540092e-17,4.163336342344337e-17
60,-1.550263242881261,3.3030632372138213,128,-0.2571637227946329,0.46297415112799617,0.2153522409856705,7.1810356546425e-16,1.4362071309285e-16,1.1102230246251565e-16,5.314788097156787e-17,0.0
61,-0.6498480779387439,2.717030224898736,64,-0.3816350297959652,0.11537449231116677,1.3574029527341707,2.4012223709732653e-16,1.2006111854866344e-16,5.204170427930421e-17,2.4532694666933986e-17,4.85722573273506e-17
62,-0.5605660184568925,2.9049840433727994,96,0.47568802599205223,1.05386943930704,0.3139823503874704,3.3726998522225437e-16,1.686349926111271e-16,5.551115123125783e-17,3.204937810639273e-17,1.1102230246251565e-16
63,1.0407337257482834,2.4116227882960315,96,0.2961535637761227,0.31247222121668083,0.7013940524745241,1.0442379610361522e-15,4.1769518441446094e-16,6.106226635438361e-16,2.603703785810335e-16,3.885780586188048e-16
64,-1.680644738500371,0.9613905243969716,192,0.2729642452365511,0.5378517479638609,0.06047339428583939,6.454601568502157e-16,4.3030677123347733e-16,9.71445146547012e-17,4.085510109075248e-17,2.7755575615628914e-17
65,-2.3419932776459764,2.930282886169652,64,-0.3100225335501893,0.21975946225654527,0.7648142895033571,1.0576848526810213e-15,5.288424263405128e-16,3.885780586188048e-16,1.7184564531560764e-16,6.38378239159465e-16
66,1.5101445448784727,3.7856092566245305,64,-0.09474861679709208,0.6461583669072424,0.0626658119031155,8.606518070431873e-16,5.163910842259124e-16,4.163336342344337e-17,1.791614702062191e-17,1.3877787807814457e-17
67,1.5091417201285866,2.9293688637240805,128,-0.5496934717203326,0.745027412350744,0.6167136013755005,7.911025307181692e-16,7.91102530718169e-16,1.2212453270876722e-15,5.047141111338362e-16,2.220446049250313e-16
68,0.9992993995737771,3.3125088305873884,96,-0.38253118224072,0.6192011111603676,1.2355088525655509,5.145520913006155e-16,3.4303472753374403e-16,6.106226635438361e-16,2.603703785810335e-16,7.216449660063518e-16
69,-2.592031174022646,0.9182256272802526,192,-0.019601938399644636,0.7709801587653642,0.4658007673512725,1.0305541302491933e-15,5.15277065124598e-16,2.0539125955565396e-15,8.394245463330678e-16,2.3314683517128287e-15
70,2.4903212540902153,2.7368371965510065,192,-0.5995320032094144,0.44789892941618087,1.4948458470580301,1.688910348998066e-15,1.1822372442986377e-15,1.734723475976807e-16,7.397871940835685e-17,2.914335439641036e-16
71,2.4831992449890534,3.8361037384009005,192,0.5276149973031647,0.5729748777188127,0.6473883848037318,2.1394564792837783e-15,1.1520150273066524e-15,3.6637359812630166e-15,1.5400384829114069e-15,3.9968028886505635e-15
72,1.667997275893128,2.1839373200785106,64,-0.3485507793285713,0.616450726197682,0.6001127975417268,7.76523316447807e-16,1.941308291119517e-16,4.440892098500626e-16,2.220446049250313e-16,1.1102230246251565e-16
73,-0.5935213878140093,3.557810993196316,96,0.581796576476741,0.31961563108946245,0.581003094273471,3.3842743853297507e-16,3.384274385329748e-16,2.498001805406602e-16,1.1775693440128312e-16,1.6653345369377348e-16
74,-0.6119572843748956,2.41333789087519,64,-0.27766153788791414,0.7974081012058212,1.3036510244019128,4.75934531751653e-16,2.3796726587582666e-16,1.942890293094024e-16,8.62955915345466e-17,1.3877787807814457e-16
75,2.3481332781341293,3.6131493517435103,160,-0.24195707900074032,0.34155180991200124,0.6608453386174024,7.058355215095191e-16,5.881962679246e-16,3.608224830031759e-16,1.5202354861220294e-16,2.7755575615628914e-16
76,1.3694491368631747,2.519081457259599,160,-0.15644547166028455,1.1831530017803003,0.901120087960611,5.903657037209958e-16,5.903657037209958e-16,1.3322676295501878e-15,5.438959822042073e-16,0.0
77,-0.9377886025051021,3.1578577224195303,64,0.5683185734812392,0.3573825120592401,0.4294164942914284,3.817027747361352e-16,3.8170277473613097e-16,2.581268532253489e-15,1.1467453797716407e-15,2.4147350785597155e-15
78,-2.414950549521491,2.6326912057033183,192,-0.20504840913211284,0.175319561478143,1.2043185304439115,1.4246329263368781e-15,3.5615823158422023e-16,6.661338147750939e-16,2.7265526925652344e-16,6.245004513516506e-16
79,-1.3473121480795496,3.0031700512075625,64,0.1593043683281587,0.42806844625012935,0.553050112318609,5.950410807872466e-16,0.0,3.885780586188048e-16,1.868783819980842e-16,1.6653345369377348e-16
80,-2.420037517859674,1.8869568331337094,160,0.061107062655782,0.2762143742855813,1.2873065122750855,8.497146326831368e-16,8.49714632683135e-16,5.273559366969494e-16,2.1692599730751837e-16,4.996003610813204e-16
81,2.202552418909035,3.31454193979003,192,0.2809958010569407,1.160848563339959,0.10834251402210561,2.756199009302964e-16,1.3780995046514843e-16,1.0824674490095276e-15,4.504049520251624e-16,1.1102230246251565e-15
82,1.796592404633099,1.9409723926771223,192,0.2212871838835868,1.1172255572665926,1.0655319615676706,6.01816980274584e-16,2.407267921098337e-16,1.1102230246251565e-15,4.796711693331816e-16,6.661338147750939e-16
