n,epsilon,dS_hor_avg,dQ_in,dQ_avg,S_ens,dS_ens,jump_rate_emp,Lambda_w,Lambda_unw,Coh_ptr_w,layer_mean
123,0.6,0.0009,0.0012080970532068794,-0.0012080970532068794,2.0224652545919404,0.0017668475006131779,0.00125,-0.024271590678564502,-0.03635424300790254,0.9704194543754645,4.02
124,0.6,0.0018,0.0032540862975528645,-0.0032540862975528645,2.026140518119723,0.0036752635277825796,0.0025,-0.024271590678564502,-0.03607883207602449,0.9704194543754647,4.035
125,0.6,0.0027,0.002615648346263911,-0.002615648346263911,2.0314670135279997,0.005326495408276788,0.00375,-0.024271590678564502,-0.035665715678207414,0.9704194543754647,4.0575
126,0.6,0.0,-0.0,0.0,2.0314670135279997,0.0,0.0,-0.024271590678564502,-0.035665715678207414,0.9704194543754647,4.0575
127,0.6,0.0009,0.0007161719584804419,-0.0007161719584804419,2.0329890841142038,0.0015220705862040163,0.00125,-0.024271590678564502,-0.035528010212268396,0.9704194543754647,4.065
128,0.6,0.0018,0.0021994646629521697,-0.0021994646629521697,2.0361260406214132,0.003136956507209465,0.0025,-0.024271590678564502,-0.035252599280390345,0.9704194543754647,4.08
129,0.6,0.0009,0.001323652972336662,-0.001323652972336662,2.037646109105289,0.0015200684838756473,0.00125,-0.024271590678564502,-0.03511489381445131,0.9704194543754645,4.0875
130,0.6,0.0054,0.00687207090232914,-0.00687207090232914,2.0478092523716667,0.010163143266377794,0.0075,-0.024271590678564502,-0.034288661018817175,0.9704194543754645,4.1325
131,0.6,0.0018,0.002468779694187002,-0.002468779694187002,2.050892269946131,0.003083017574464275,0.0025,-0.024271590678564502,-0.034013250086939124,0.9704194543754645,4.1475
132,0.6,0.0027,-1.958953767040625e-05,1.958953767040625e-05,2.055647590300641,0.004755320354509873,0.00375,-0.024271590678564502,-0.03360013368912204,0.9704194543754645,4.17
133,0.6,0.0009,0.0004640595411179191,-0.0004640595411179191,2.0570535981190745,0.0014060078184336966,0.00125,-0.024271590678564502,-0.03346242822318302,0.9704194543754645,4.1775
134,0.6,0.0018,0.001725738702572463,-0.001725738702572463,2.0600996025083353,0.003046004389260837,0.0025,-0.024271590678564502,-0.03318701729130497,0.9704194543754645,4.1925
