n,epsilon,dS_hor_avg,dQ_in,dQ_avg,S_ens,dS_ens,jump_rate_emp,Lambda_w,Lambda_unw,Coh_ptr_w,layer_mean
41,0.15,0.0045000000000000005,5.877740046246527e-05,-5.877740046246527e-05,1.3297335212794594,0.01749564139752402,0.00625,-0.024271590678564502,-0.07325930787956118,0.9704194543754645,2.01
42,0.15,0.0018,0.0010614007275399214,-0.0010614007275399214,1.3368778070133862,0.007144285733926781,0.0025,-0.024271590678564502,-0.07298389694768313,0.9704194543754645,2.025
43,0.15,0.0045000000000000005,0.0021359533522669364,-0.0021359533522669364,1.3537375999893428,0.016859792975956633,0.00625,-0.024271590678564502,-0.072295369617988,0.9704194543754647,2.0625
44,0.15,0.0027,-0.0013644428424913035,0.0013644428424913035,1.3646127764269798,0.010875176437636913,0.00375,-0.024271590678564502,-0.07188225322017093,0.9704194543754647,2.085
45,0.15,0.0054,0.0013663173245020985,-0.0013663173245020985,1.3842298238808313,0.01961704745385151,0.0075,-0.024271590678564502,-0.07105602042453679,0.9704194543754647,2.13
46,0.15,0.0009,6.957389831555314e-05,-6.957389831555314e-05,1.387646293583261,0.003416469702429703,0.00125,-0.024271590678564502,-0.07091831495859777,0.9704194543754647,2.1375
47,0.15,0.008100000000000001,0.004850076147529311,-0.004850076147529311,1.4185100288736245,0.03086373529036357,0.01125,-0.024271590678564502,-0.06967896576514652,0.9704194543754645,2.205
48,0.15,0.0018,0.0010651051663402434,-0.0010651051663402434,1.4251809585185147,0.006670929644890133,0.0025,-0.024271590678564502,-0.06940355483326849,0.9704194543754647,2.22
49,0.15,0.0018,0.0004123899024368034,-0.0004123899024368034,1.431582634932985,0.006401676414470314,0.0025,-0.024271590678564502,-0.06912814390139042,0.9704194543754645,2.235
50,0.15,0.0018,0.00016965898480896912,-0.00016965898480896912,1.4381041416897833,0.006521506756798301,0.0025,-0.024271590678564502,-0.06885273296951239,0.9704194543754645,2.25
51,0.15,0.0045000000000000005,0.002743520572070307,-0.002743520572070307,1.4544021693900762,0.016298027700292872,0.00625,-0.024271590678564502,-0.06816420563981726,0.9704194543754645,2.2875
52,0.15,0.009000000000000001,0.0006547626780308871,-0.0006547626780308871,1.4861166671214736,0.03171449773139745,0.0125,-0.024271590678564502,-0.066787150980427,0.9704194543754643,2.3625
53,0.15,0.0027,0.0013514973335010372,-0.0013514973335010372,1.4956756966880458,0.009559029566572175,0.00375,-0.024271590678564502,-0.06637403458260994,0.9704194543754645,2.385
54,0.15,0.008100000000000001,0.00031775752244078275,-0.00031775752244078275,1.5233121488153798,0.02763645212733401,0.01125,-0.024271590678564502,-0.06513468538915873,0.9704194543754645,2.4525
