seed,Nsamples,L_sites,K_layers,gamma_deph,eta0,"noncomm_norm_[U0,U1]",max_abs_balance_residual,mean_abs_balance_residual,balance_closure_ok_1e-10,seed_case,n_sites_case,k_layers_case,gamma_case,eta0_case
20260405,16,4,5,0.35,0.9,0.8802985854082106,5.551115123125783e-17,7.14125007500628e-18,True,20260405,4,5,0.35,0.9
20260405,16,4,5,0.35,1.6,0.8802985854082106,5.551115123125783e-17,9.595612742970341e-18,True,20260405,4,5,0.35,1.6
20260405,16,4,5,0.8,0.2,0.8802985854082106,1.1102230246251565e-16,1.1908097392269307e-17,True,20260405,4,5,0.8,0.2
20260405,16,4,5,0.8,0.9,0.8802985854082106,1.1102230246251565e-16,1.2771534544268766e-17,True,20260405,4,5,0.8,0.9
20260405,16,4,5,0.8,1.6,0.8802985854082106,1.1102230246251565e-16,1.4506483895698174e-17,True,20260405,4,5,0.8,1.6
20260406,16,4,3,0.1,0.2,1.0662702819607914,4.163336342344337e-17,6.143294679505648e-18,True,20260406,4,3,0.1,0.2
20260406,16,4,3,0.1,0.9,1.0662702819607914,5.551115123125783e-17,9.37618415224552e-18,True,20260406,4,3,0.1,0.9
20260406,16,4,3,0.1,1.6,1.0662702819607914,1.1102230246251565e-16,1.2221791338546342e-17,True,20260406,4,3,0.1,1.6
20260406,16,4,3,0.35,0.2,1.0662702819607914,8.326672684688674e-17,9.327291528234563e-18,True,20260406,4,3,0.35,0.2
20260406,16,4,3,0.35,0.9,1.0662702819607914,1.1102230246251565e-16,1.2425126303273332e-17,True,20260406,4,3,0.35,0.9
20260406,16,4,3,0.35,1.6,1.0662702819607914,2.220446049250313e-16,2.092594896191749e-17,True,20260406,4,3,0.35,1.6
20260406,16,4,3,0.8,0.2,1.0662702819607914,4.440892098500626e-16,1.995760207366199e-17,True,20260406,4,3,0.8,0.2
20260406,16,4,3,0.8,0.9,1.0662702819607914,2.220446049250313e-16,2.6995222373310302e-17,True,20260406,4,3,0.8,0.9
20260406,16,4,3,0.8,1.6,1.0662702819607914,1.1102230246251565e-16,2.2199415940728373e-17,True,20260406,4,3,0.8,1.6
20260406,16,4,4,0.1,0.2,1.0442646194114757,5.551115123125783e-17,6.227950916845119e-18,True,20260406,4,4,0.1,0.2
20260406,16,4,4,0.1,0.9,1.0442646194114757,5.551115123125783e-17,7.781338756030568e-18,True,20260406,4,4,0.1,0.9
20260406,16,4,4,0.1,1.6,1.0442646194114757,5.551115123125783e-17,1.1124366040606478e-17,True,20260406,4,4,0.1,1.6
20260406,16,4,4,0.35,0.2,1.0442646194114757,5.551115123125783e-17,8.102576001276762e-18,True,20260406,4,4,0.35,0.2
20260406,16,4,4,0.35,0.9,1.0442646194114757,5.551115123125783e-17,1.024161653740962e-17,True,20260406,4,4,0.35,0.9
20260406,16,4,4,0.35,1.6,1.0442646194114757,1.6653345369377348e-16,1.6981316526554213e-17,True,20260406,4,4,0.35,1.6
