model,q_extreme,ridge_alpha,cv_gain_all_median,cv_gain_all_mean,cv_gain_extreme_median,cv_gain_extreme_mean,cv_gain_non_extreme_median,cv_score_mean,cv_score_std,cv_extreme_positive_frac,cv_overall_positive_frac,seed,complexity
horizontal_global,0.85,0.0001,0.00023235363776479858,0.0008985146490742153,0.0015134821608839026,0.0009357124965473077,0.0010429756301242434,0.0014599421470025999,0.005461012852063003,0.6666666666666666,0.5,20260301,2
horizontal_global,0.85,0.0003,0.00023235372210870056,0.0008985147641094173,0.0015134825460273566,0.0009357124519494326,0.001042976588097182,0.001459942235279077,0.0054610121498124145,0.6666666666666666,0.5,20260301,2
horizontal_global,0.85,0.001,0.00023235401731228235,0.0008985151667327921,0.0015134838940280989,0.0009357122958564792,0.0010429799410007561,0.0014599425442466797,0.005461009691936803,0.6666666666666666,0.5,20260301,2
horizontal_global,0.85,0.003,0.0002323548607504338,0.0008985163170849364,0.0015134877454557,0.0009357118498786524,0.0010429895207160567,0.0014599434270121277,0.005461002669446997,0.6666666666666666,0.5,20260301,2
horizontal_global,0.85,0.01,0.00023235781277562565,0.0008985203433128404,0.0015135012254086386,0.0009357102889739347,0.0010430230496037605,0.001459946516697201,0.005460978090871734,0.6666666666666666,0.5,20260301,2
horizontal_global,0.85,0.03,0.0002323662470584675,0.0008985318467802016,0.0015135397391883617,0.0009357058294005878,0.0010431188454378883,0.0014599553444205541,0.005460907867563801,0.6666666666666666,0.5,20260301,2
horizontal_global,0.85,0.1,0.00023239576618166703,0.0008985721084395449,0.0015136745330826215,0.0009356902226927197,0.0010434541193352401,0.0014599862420551764,0.005460662099897318,0.6666666666666666,0.5,20260301,2
horizontal_global,0.88,1e-06,0.00023235359601458347,0.0008985145921316372,0.00036349191646780797,0.0018848667767020332,0.0013701223863240319,0.0020294346581528574,0.0053655587333512845,0.5,0.5,20260301,2
horizontal_global,0.88,3e-06,0.0002323535968579644,0.0008985145932819968,0.00036349191787216116,0.0018848667763694798,0.0013701223947856088,0.0020294346591036845,0.005365558724873163,0.5,0.5,20260301,2
horizontal_global,0.88,1e-05,0.00023235359980998096,0.0008985145973082064,0.00036349192278740673,0.001884866775205429,0.0013701224244009975,0.0020294346624314635,0.005365558695200176,0.5,0.5,20260301,2
horizontal_global,0.88,3e-05,0.00023235360824446242,0.0008985146088118395,0.0003634919368311233,0.0018848667718795737,0.0013701225090158944,0.0020294346719395835,0.0053655586104201704,0.5,0.5,20260301,2
horizontal_global,0.88,0.0001,0.00023235363776479858,0.0008985146490742153,0.0003634919859826326,0.001884866760238907,0.0013701228051685582,0.00202943470521756,0.005365558313689789,0.5,0.5,20260301,2
horizontal_global,0.88,0.0003,0.00023235372210870056,0.0008985147641094173,0.0003634921264173615,0.0018848667269806367,0.001370123651319294,0.002029434800297799,0.00536555746588947,0.5,0.5,20260301,2
horizontal_global,0.88,0.001,0.00023235401731228235,0.0008985151667327921,0.00036349261793798527,0.0018848666105759683,0.0013701266128454484,0.002029435133078374,0.005365554498589251,0.5,0.5,20260301,2
horizontal_global,0.88,0.003,0.0002323548607504338,0.0008985163170849364,0.00036349402228009613,0.0018848662779927612,0.001370135074339543,0.0020294360838805934,0.005365546020600064,0.5,0.5,20260301,2
horizontal_global,0.88,0.01,0.00023235781277562565,0.0008985203433128404,0.0003634989374575103,0.001884865113968617,0.0013701646894685902,0.002029439411694011,0.0053655163477776035,0.5,0.5,20260301,2
horizontal_global,0.88,0.03,0.0002323662470584675,0.0008985318467802016,0.0003635129806516158,0.001884861788333392,0.0013702493032581782,0.0020294489197802365,0.005365431569478095,0.5,0.5,20260301,2
horizontal_global,0.88,0.1,0.00023239576618166703,0.0008985721084395449,0.0003635621298348615,0.0018848501503350697,0.0013705454414286943,0.0020294821986405866,0.005365134859348633,0.5,0.5,20260301,2
horizontal_global,0.9,1e-06,0.00023235359601458347,0.0008985145921316372,0.0014600135116487716,0.0012079217734337973,0.0008997239313911617,0.0016232676561919155,0.005543152030571548,0.6666666666666666,0.5,20260301,2
horizontal_global,0.9,3e-06,0.0002323535968579644,0.0008985145932819968,0.0014600135120599125,0.0012079217740255867,0.000899723939978129,0.001623267657697349,0.005543152022253946,0.6666666666666666,0.5,20260301,2
horizontal_global,0.9,1e-05,0.00023235359980998096,0.0008985145973082064,0.0014600135134995031,0.001207921776097034,0.000899723970032602,0.001623267662966427,0.005543151993142816,0.6666666666666666,0.5,20260301,2
horizontal_global,0.9,3e-05,0.00023235360824446242,0.0008985146088118395,0.001460013517611794,0.0012079217820151822,0.0008997240559027996,0.0016232676780209487,0.0055431519099680355,0.6666666666666666,0.5,20260301,2
horizontal_global,0.9,0.0001,0.00023235363776479858,0.0008985146490742153,0.0014600135320048252,0.0012079218027293578,0.0008997243564487544,0.00162326773071183,0.005543151618855908,0.6666666666666666,0.5,20260301,2
horizontal_global,0.9,0.0003,0.00023235372210870056,0.0008985147641094173,0.001460013573128529,0.0012079218619125553,0.0008997252151505743,0.0016232678812569507,0.005543150787107417,0.6666666666666666,0.5,20260301,2
horizontal_global,0.9,0.001,0.00023235401731228235,0.0008985151667327921,0.00146001371706033,0.001207922069053355,0.0008997282206067675,0.0016232684081648053,0.005543147875988702,0.6666666666666666,0.5,20260301,2
horizontal_global,0.9,0.003,0.0002323548607504338,0.0008985163170849364,0.0014600141282942235,0.0012079226608844391,0.0008997368076154146,0.0016232699136156,0.005543139558518975,0.6666666666666666,0.5,20260301,2
horizontal_global,0.9,0.01,0.00023235781277562565,0.0008985203433128404,0.0014600155676097097,0.0012079247322966695,0.0008997668620423641,0.0016232751826908423,0.005543110447515773,0.6666666666666666,0.5,20260301,2
horizontal_global,0.9,0.03,0.0002323662470584675,0.0008985318467802016,0.001460019679918118,0.0012079306506448389,0.0008998527309517397,0.0016232902371671049,0.005543027274431068,0.6666666666666666,0.5,20260301,2
horizontal_global,0.9,0.1,0.00023239576618166703,0.0008985721084395449,0.001460034072731972,0.001207951365184809,0.0009001532618433243,0.0016233429275504304,0.0055427361827439445,0.6666666666666666,0.5,20260301,2
horizontal_global,0.92,1e-06,0.00023235359601458347,0.0008985145921316372,0.0007714391318290761,0.0006705811729423249,0.0007889542773033664,0.0013008632958970321,0.005232092214473263,0.6666666666666666,0.5,20260301,2
horizontal_global,0.92,3e-06,0.0002323535968579644,0.0008985145932819968,0.0007714391332543263,0.0006705811735946474,0.0007889542778474203,0.0013008632974387852,0.005232092206910322,0.6666666666666666,0.5,20260301,2
