case_id,K_layers,dmu,Lambda_numerical,Lambda_theory,rel_error,rel_error_pct
18,32,0.09757854295310238,0.3551967840875921,0.3551967840875921,0.0,0.0
18,64,0.04878927147655119,0.355196784087592,0.3551967840875921,3.125656183732144e-16,3.125656183732144e-14
18,128,0.024394635738275595,0.3551967840875922,0.3551967840875921,3.125656183732144e-16,3.125656183732144e-14
19,4,0.8966034681595204,-0.31772881777362977,-0.3177288177736299,3.494247177214332e-16,3.494247177214332e-14
19,8,0.4483017340797602,-0.3177288177736298,-0.3177288177736299,1.747123588607166e-16,1.747123588607166e-14
19,16,0.2241508670398801,-0.3177288177736299,-0.3177288177736299,0.0,0.0
19,32,0.11207543351994005,-0.31772881777362977,-0.3177288177736299,3.494247177214332e-16,3.494247177214332e-14
19,64,0.056037716759970026,-0.3177288177736298,-0.3177288177736299,1.747123588607166e-16,1.747123588607166e-14
19,128,0.028018858379985013,-0.31772881777363,-0.3177288177736299,3.494247177214332e-16,3.494247177214332e-14
20,4,0.38018443925214174,0.28953973107679515,0.28953973107679515,0.0,0.0
