subset,model,split_id,n_train,n_test,mae_base,mae_full,mae_gain_frac,intercept_base,intercept_full,coef_base_ctrl,coef_full_ctrl,coef_full_lambda_h,coef_full_lambda_v
omegaq_p90,combined,2,365,73,0.732215461755165,0.7549669633831696,-0.031072140396266337,1.4680100437941244,1.463300645397323,-0.1564681747397563,-0.15442539594380025,19178.206236082726,-22382.49048320415
omegaq_p90,combined,3,365,73,0.46227502427261313,0.4618366394950128,0.0009483202738222312,1.535579277154635,1.5344365983440122,-0.12848842880274206,-0.13043885674777383,-8599.532866026633,11080.311879385228
omegaq_p90,combined,4,365,73,0.46217748807838643,0.4607082397868556,0.0031789698317769787,1.5204119115269472,1.5182006651524058,-0.1460330277560221,-0.14637627352908075,-1315.509635603913,2488.323192172562
omegaq_p90,combined,5,365,73,0.5169235718781908,0.516403806273287,0.0010054979752893297,1.4920467523259662,1.4901550258705025,-0.10252060554346047,-0.10463414387164871,2232.555444691579,-1229.9957637632144
union_p90,horizontal,0,670,134,0.6503827591818436,0.650471104638695,-0.00013583609898011988,0.9144527698638584,0.9142130416814779,-0.2509430442893762,-0.2509741165816458,59.72196814478389,
union_p90,horizontal,1,670,134,0.8338902203386369,0.8332949784364398,0.0007138132666367356,0.9190046079526473,0.9197703036444019,-0.3290133293255012,-0.3287340666834526,-242.15801242235298,
union_p90,horizontal,2,670,134,0.666524165317508,0.6671104995715602,-0.0008796894164699966,1.019152523730282,1.0200070617837804,-0.29365797092739804,-0.29355399532996596,-211.3615519410187,
union_p90,horizontal,3,670,134,0.735976243622447,0.7359807093045865,-6.067698758229755e-06,1.073738295705101,1.0746556786296038,-0.29099085649012185,-0.2908739671130781,-240.70335050211705,
union_p90,horizontal,4,670,134,0.633736218700755,0.6521320384627904,-0.02902756575870053,0.9313857454008282,0.9351121194555491,-0.28644006777571746,-0.28534106184712316,-1643.6348182689276,
union_p90,horizontal,5,670,134,0.9995443209349828,1.0031745045026488,-0.003631838520443636,1.105948180669136,1.1025425714387047,-0.14582751850442166,-0.14690135796980863,990.6026463405082,
union_p90,vertical,0,670,134,0.6503827591818436,0.6505199866610625,-0.00021099495225129382,0.9144527698638584,0.9140876221375152,-0.2509430442893762,-0.25099499133340214,,109.57645603546791
