band_id,field,mode_rank,ky_idx,kx_idx,mean_power,wavelength_km,scale_center_km,mu
2,vorticity,4,73,20,0.00010106438718005434,175.163816467271,141.4213562373095,3.5
2,vorticity,5,66,10,8.167919621896028e-05,142.32119396370882,141.4213562373095,3.5
3,iwv,0,6,0,26436758.336578224,375.28287742538663,282.842712474619,2.5
3,iwv,1,75,0,26436758.33657822,375.28287742538663,282.842712474619,2.5
3,iwv,2,74,0,22751965.416223727,321.6710377931886,282.842712474619,2.5
3,iwv,3,7,0,22751965.416223723,321.6710377931886,282.842712474619,2.5
3,iwv,4,75,2,17736726.927988447,370.114431292918,282.842712474619,2.5
3,iwv,5,8,0,16375735.217029804,281.46215806904,282.842712474619,2.5
3,ivt_u,0,6,0,18007731551.402935,375.28287742538663,282.842712474619,2.5
3,ivt_u,1,75,0,18007731551.402935,375.28287742538663,282.842712474619,2.5
3,ivt_u,2,7,0,12194303955.421864,321.6710377931886,282.842712474619,2.5
3,ivt_u,3,74,0,12194303955.421864,321.6710377931886,282.842712474619,2.5
3,ivt_u,4,73,0,11510232290.759838,281.46215806904,282.842712474619,2.5
3,ivt_u,5,8,0,11510232290.759834,281.46215806904,282.842712474619,2.5
3,ivt_v,0,75,0,1415409773.3682857,375.28287742538663,282.842712474619,2.5
3,ivt_v,1,6,0,1415409773.3682854,375.28287742538663,282.842712474619,2.5
3,ivt_v,2,75,1,1250878755.8888428,373.9704909389449,282.842712474619,2.5
3,ivt_v,3,6,1,1235380527.01303,373.9704909389449,282.842712474619,2.5
3,ivt_v,4,74,0,984662466.3075083,321.6710377931886,282.842712474619,2.5
3,ivt_v,5,7,0,984662466.3075082,321.6710377931886,282.842712474619,2.5
3,p_minus_e,0,75,1,0.11306822540340758,373.9704909389449,282.842712474619,2.5
3,p_minus_e,1,75,0,0.11185921765536991,375.28287742538663,282.842712474619,2.5
3,p_minus_e,2,6,0,0.1118592176553699,375.28287742538663,282.842712474619,2.5
3,p_minus_e,3,75,2,0.10658424195469342,370.114431292918,282.842712474619,2.5
3,p_minus_e,4,75,3,0.10656332166752568,363.944508391487,282.842712474619,2.5
3,p_minus_e,5,6,1,0.10576409165401641,373.9704909389449,282.842712474619,2.5
3,vorticity,0,73,6,0.0002158934593022569,263.3390273517203,282.842712474619,2.5
3,vorticity,1,75,2,0.00021362249287967385,370.114431292918,282.842712474619,2.5
3,vorticity,2,76,8,0.00018775590912590358,350.8041207556265,282.842712474619,2.5
3,vorticity,3,74,6,0.00018705904776029073,295.3769040965651,282.842712474619,2.5
3,vorticity,4,75,1,0.00018248393033726433,373.9704909389449,282.842712474619,2.5
3,vorticity,5,73,10,0.0001788215584568437,238.2628056092198,282.842712474619,2.5
4,iwv,0,78,0,116500413.5135437,750.5657548507733,565.685424949238,1.4999999999999998
4,iwv,1,3,0,116500413.51354368,750.5657548507733,565.685424949238,1.4999999999999998
4,iwv,2,78,1,73018164.50289054,740.228862585836,565.685424949238,1.4999999999999998
4,iwv,3,4,0,67117411.76764609,562.92431613808,565.685424949238,1.4999999999999998
4,iwv,4,77,0,67117411.76764607,562.92431613808,565.685424949238,1.4999999999999998
4,iwv,5,77,1,52613305.92404121,558.5238113401247,565.685424949238,1.4999999999999998
4,ivt_u,0,3,0,88947149699.32004,750.5657548507733,565.685424949238,1.4999999999999998
4,ivt_u,1,78,0,88947149699.32004,750.5657548507733,565.685424949238,1.4999999999999998
4,ivt_u,2,4,0,37507833600.17173,562.92431613808,565.685424949238,1.4999999999999998
4,ivt_u,3,77,0,37507833600.17172,562.92431613808,565.685424949238,1.4999999999999998
4,ivt_u,4,78,1,33261600333.014084,740.228862585836,565.685424949238,1.4999999999999998
4,ivt_u,5,5,0,24923615517.970528,450.33945291046405,565.685424949238,1.4999999999999998
4,ivt_v,0,78,1,6439652973.871073,740.228862585836,565.685424949238,1.4999999999999998
4,ivt_v,1,3,0,6054307426.592498,750.5657548507733,565.685424949238,1.4999999999999998
4,ivt_v,2,78,0,6054307426.592497,750.5657548507733,565.685424949238,1.4999999999999998
4,ivt_v,3,3,1,5787976849.803471,740.228862585836,565.685424949238,1.4999999999999998
4,ivt_v,4,78,2,4509894429.329095,711.605969818544,565.685424949238,1.4999999999999998
4,ivt_v,5,0,6,4093048965.5990353,745.9326329072486,565.685424949238,1.4999999999999998
4,p_minus_e,0,78,1,0.3880774379732555,740.228862585836,565.685424949238,1.4999999999999998
4,p_minus_e,1,78,2,0.3804326613543469,711.605969818544,565.685424949238,1.4999999999999998
4,p_minus_e,2,3,0,0.37510253546296046,750.5657548507733,565.685424949238,1.4999999999999998
4,p_minus_e,3,78,0,0.3751025354629604,750.5657548507733,565.685424949238,1.4999999999999998
4,p_minus_e,4,3,1,0.31839580259597783,740.228862585836,565.685424949238,1.4999999999999998
4,p_minus_e,5,78,3,0.29606967368225817,670.491444377748,565.685424949238,1.4999999999999998
4,vorticity,0,78,1,0.0005021412112713961,740.228862585836,565.685424949238,1.4999999999999998
4,vorticity,1,78,3,0.000332775407814516,670.491444377748,565.685424949238,1.4999999999999998
4,vorticity,2,78,6,0.00033252507307137417,529.0844719806712,565.685424949238,1.4999999999999998
4,vorticity,3,78,0,0.00029233641115493283,750.5657548507733,565.685424949238,1.4999999999999998
4,vorticity,4,3,0,0.0002923364111549328,750.5657548507733,565.685424949238,1.4999999999999998
4,vorticity,5,3,1,0.0002883791442089567,740.228862585836,565.685424949238,1.4999999999999998
5,iwv,0,79,0,312529612.9374403,1125.84863227616,1131.370849898476,0.4999999999999999
5,iwv,1,2,0,312529612.9374403,1125.84863227616,1131.370849898476,0.4999999999999999
5,iwv,2,80,2,175024758.25910202,1587.2534159420138,1131.370849898476,0.4999999999999999
5,iwv,3,79,1,117001455.64118542,1091.8335251744609,1131.370849898476,0.4999999999999999
5,iwv,4,2,1,112171146.87458792,1091.8335251744609,1131.370849898476,0.4999999999999999
5,iwv,5,79,2,102660626.7379303,1005.7371665666221,1131.370849898476,0.4999999999999999
5,ivt_u,0,79,0,216708619512.32742,1125.84863227616,1131.370849898476,0.4999999999999999
5,ivt_u,1,2,0,216708619512.32742,1125.84863227616,1131.370849898476,0.4999999999999999
5,ivt_u,2,79,1,89978843303.78896,1091.8335251744609,1131.370849898476,0.4999999999999999
5,ivt_u,3,80,2,59677968293.62372,1587.2534159420138,1131.370849898476,0.4999999999999999
5,ivt_u,4,2,1,37465905989.84958,1091.8335251744609,1131.370849898476,0.4999999999999999
5,ivt_u,5,1,2,36883074094.95414,1587.2534159420138,1131.370849898476,0.4999999999999999
5,ivt_v,0,80,2,51943491250.92154,1587.2534159420138,1131.370849898476,0.4999999999999999
5,ivt_v,1,1,2,42475329426.059235,1587.2534159420138,1131.370849898476,0.4999999999999999
5,ivt_v,2,0,3,28302899758.42852,1491.8652658144972,1131.370849898476,0.4999999999999999
5,ivt_v,3,80,3,18229477322.465916,1243.664011516843,1131.370849898476,0.4999999999999999
5,ivt_v,4,2,0,17872276542.452843,1125.84863227616,1131.370849898476,0.4999999999999999
5,ivt_v,5,79,0,17872276542.452843,1125.84863227616,1131.370849898476,0.4999999999999999
5,p_minus_e,0,2,0,0.9063166199824019,1125.84863227616,1131.370849898476,0.4999999999999999
5,p_minus_e,1,79,0,0.9063166199824019,1125.84863227616,1131.370849898476,0.4999999999999999
5,p_minus_e,2,79,1,0.8936129673851565,1091.8335251744609,1131.370849898476,0.4999999999999999
5,p_minus_e,3,80,2,0.8856943799421564,1587.2534159420138,1131.370849898476,0.4999999999999999
5,p_minus_e,4,1,2,0.652319793387068,1587.2534159420138,1131.370849898476,0.4999999999999999
5,p_minus_e,5,2,1,0.590956506136662,1091.8335251744609,1131.370849898476,0.4999999999999999
5,vorticity,0,79,1,0.0008655396601677596,1091.8335251744609,1131.370849898476,0.4999999999999999
5,vorticity,1,80,2,0.0005548486379677843,1587.2534159420138,1131.370849898476,0.4999999999999999
5,vorticity,2,79,2,0.0004769011355282941,1005.7371665666221,1131.370849898476,0.4999999999999999
5,vorticity,3,2,0,0.0004155016269534546,1125.84863227616,1131.370849898476,0.4999999999999999
5,vorticity,4,79,0,0.0004155016269534545,1125.84863227616,1131.370849898476,0.4999999999999999
5,vorticity,5,79,3,0.00029887266761771685,898.6654824796693,1131.370849898476,0.4999999999999999
