case_id,profile,alpha1,alpha2,delta_alpha,lambda_matter_w1_mean,lm_w1_times_delta_alpha,lambda_vac_w1_mean,state_spread_phi90,lambda_w_g2_mean,coh_ptr_g2_mean,jump_rate_g2_mean,lambda_eff_raw,clausius_r2,lambda_eff_proxy
29,gaussian,0.09167593825621406,0.908090943225697,0.8164150049694828,0.7761648922371196,0.6336726643529061,0.816415004969483,1.5033721527265078,-0.0014052560108158843,0.0018865742974688514,0.003981481481481481,-20.845511881974044,0.4508599936922927,-1.3904501892350276
30,oscillating,0.2295522637216783,0.8045721149333767,0.5750198512116984,0.6353570947537723,0.3653429420916111,0.5750198512116983,1.206262996379192,-0.014429676587828642,0.10013681655217353,0.003981481481481481,-1.5605010957786767,0.05631581477411007,-0.05294829686472582
31,oscillating,0.1944409852615816,0.80705376065427,0.6126127753926884,0.6781308538443611,0.41543162445300763,0.6126127753926883,1.2577591210331036,-0.02343521117744561,0.08935509644359926,0.0036728395061728395,-1.5283543352203635,0.04343715379051649,-0.040290941263456066
32,oscillating,0.16026810009617581,0.796456301262074,0.6361882011658981,0.7163465873384914,0.4557312468102048,0.6361882011658982,1.2929098027173094,-0.03113147271067756,0.08112371253140192,0.0034567901234567903,-1.7018977174914338,0.04440542989780949,-0.04413697174036844
33,gaussian,0.2622633823693073,0.6728649270733786,0.4106015447040714,0.622662878755455,0.25566633984687376,0.41060154470407134,1.0247614249809605,0.0009792979097657253,0.10422013627063019,0.0033024691358024692,-1.6751282542006702,0.012325528292288057,-0.012128286865054107
34,constant,0.16898195843522307,0.83451413312013,0.665532174684907,0.7305407220494053,0.4861983554414229,0.6655321746849069,1.3282935971013006,-0.022224462442533167,0.0695421488210443,0.003919753086419753,-6.477367099234944,0.38565655068535176,-0.7758949857849126
35,constant,0.1616124196688086,0.836008914840519,0.6743964951717104,0.6872801343958203,0.4634993138376833,0.6743964951717103,1.3270602653393577,-0.02584012906515944,0.06579580209014652,0.003364197530864198,-11.615434533461812,0.7972448666197767,-2.0209527762819923
36,constant,0.36333515196182076,0.5792955804479303,0.21596042848610955,0.42269657028246704,0.0912857324378105,0.21596042848610952,1.1806039530593033,0.03386244957263618,0.017881011383442297,0.0026543209876543207,11.465183405820797,0.9903067775598433,2.498484017428018
37,oscillating,0.25431889014696507,0.6874557457535367,0.43313685560657167,0.5648778050632212,0.24466939628702555,0.43313685560657167,1.0347130265150684,0.013742344137152392,0.10820200138387864,0.0032098765432098768,-0.71195337355262,0.011607662131265739,-0.006240685920648438
38,gaussian,0.3222639703218482,0.6164786696077167,0.2942146992858684,0.4655125367999318,0.1369606310283937,0.2942146992858684,1.1141530713781118,0.0010539058877844676,0.06200912370219299,0.00287037037037037,5.368374588111531,0.051528966261471854,0.09539785644379278
39,gaussian,0.33644000581071454,0.6031917313983365,0.26675172558762195,0.4325110752926941,0.11537307567008404,0.266751725587622,1.141133320719616,0.0011696620157495017,0.04758111790520044,0.002716049382716049,9.238545625597432,0.129223797776725,0.3005951752623402
40,oscillating,0.2644025318661856,0.7632586717587435,0.49885613989255784,0.5981077204482852,0.29836970866276863,0.49885613989255795,1.1143203834680642,0.0001946505029081891,0.11141628004571195,0.0033333333333333327,0.57146940885695,0.004861316163582763,0.0021973689193418035
41,oscillating,0.3896978205804824,0.5595569143714091,0.1698590937909267,0.42822396190276696,0.07273773410836432,0.16985909379092667,1.2134909889073104,0.043731414409671376,0.0113822216536698,0.0026851851851851854,4.200674307206439,0.060852574049440555,0.10033301160906549
42,constant,0.3772303969899463,0.5836514178512259,0.20642102086127956,0.4054679577272475,0.08369710976059656,0.20642102086127956,1.1911494610276727,0.028635354018482564,0.011975667713452756,0.002283950617283951,15.076581569674685,1.0,2.777363652200007
43,gaussian,0.07844108044386058,0.974851652562865,0.8964105721190044,0.8503144024100721,0.7622308199454421,0.8964105721190044,1.6087228353114527,-0.0012150818424637036,0.03762668446900436,0.004475308641975308,-7.09254270177205,0.28947775709960955,-0.6052814850907675
44,constant,0.2003955994515377,0.8114415311188443,0.6110459316673066,0.702135632785091,0.42903712189197973,0.6110459316673066,1.2620787178114856,-0.024234682580632664,0.08986444015623084,0.0037962962962962963,-14.285054147921779,0.9718510311154076,-2.6501167643472208
45,oscillating,0.13177409343748234,0.8938302249776939,0.7620561315402116,0.7761637527893283,0.5914803468923686,0.7620561315402116,1.444417355097347,-0.03287275531263394,0.02473066409858721,0.0039506172839506165,-2.107746089137832,0.008099517009230062,-0.009184023977319513
46,gaussian,0.3412181127654638,0.5807581780219451,0.23954006525648125,0.5214555934677397,0.12490950688761954,0.23954006525648128,1.1431011119285228,0.0021379241813928663,0.03205983181129501,0.00287037037037037,23.56247025702124,0.708705180047668,2.268720968778453
47,constant,0.11640999253318235,1.0128159475956107,0.8964059550624284,0.8547211702221323,0.7661771469050469,0.8964059550624283,1.6098227711884339,-0.03767075497821119,0.03763527898594259,0.004043209876543209,-8.156365893946978,0.9658488425078801,-2.1388233545255355
