boot_id,intercept,coef_lm_w1_times_delta_alpha,coef_delta_alpha,coef_lambda_w_g2_mean
147,1.7326669875309793,5.0347189665684855,-6.9820950038978395,13.216106721613295
148,2.3222205372049256,5.845737362764936,-8.632721574695983,8.745392835902019
149,3.3701133199679365,7.764249316257228,-11.503673282777909,9.34675729779948
150,2.625946644147339,12.898531970340533,-14.292671575646835,25.168960639341986
151,3.162321147200575,9.113286776795475,-12.5001773656887,12.1774832872242
152,3.062638323337733,9.09388029330787,-12.227209377538163,7.362011947449492
153,2.4251810612008775,4.838720147100576,-7.8302339013771745,16.889133900874473
154,4.3173981867974724,12.171716543986015,-16.048758349702425,4.436048359804119
155,1.7538898927174977,3.688070924198528,-6.191441530082232,22.92416927623034
156,3.5093688927099316,13.854274447303771,-16.768834155507264,5.520517765505447
157,1.7682401333791615,4.277665841714811,-6.32000496247488,20.981829407592755
158,3.2401972480283923,11.711957741976335,-14.048876133475746,18.495348905112593
159,1.8635870576958347,5.488178893791027,-7.320449941637073,23.44491287232434
160,1.5529576810407888,3.4019527741818956,-4.8628196468219675,25.667094885321724
161,1.4736505779897797,3.2323123621315104,-5.3966291547727865,24.437770418765815
162,2.4921277548399194,4.486089994892378,-8.154804161748567,-9.808369106929161
163,2.511216923790516,6.23200166302892,-8.95265993377024,18.907218648964886
164,3.516616595738718,7.391417951140848,-11.558831022728496,-3.0096954399318467
165,1.5782491583796059,0.816597763695971,-3.713474582963562,10.480254068766001
166,1.52562290972152,1.8102505648574316,-4.3100405647880615,11.40192184500297
167,2.6989837091249895,1.6903651773036894,-6.405186606572447,-5.8360586501839515
168,1.4041027451760588,1.5919391436109043,-3.9068488833157766,8.103345007541643
169,1.522124381199326,2.4543652625114594,-4.92790135376767,9.916857858019942
170,2.3380892340450425,6.4524046358787,-9.096001620032148,12.9596169386617
171,2.0688165731364325,5.828354784516329,-8.035765313314675,20.2938456320104
172,3.378334570698137,11.34420868197296,-14.033414599351923,21.520177763921662
173,4.279931889694577,11.814507391712713,-15.644993622209354,8.341751988501322
